title,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,num_reviews
Packing for Mars: The Curious Science of Life in the Void,8e2dfd6bcf48e1e6,Books,£56.68,£56.68,£0.00,In stock (3 available),0
Persepolis: The Story of a Childhood (Persepolis #1-2),cb62418129b864a3,Books,£39.13,£39.13,£0.00,In stock (3 available),0
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),9707989a439757b4,Books,£43.63,£43.63,£0.00,In stock (3 available),0
Quiet: The Power of Introverts in a World That Can't Stop Talking,3c565df219ba3274,Books,£43.55,£43.55,£0.00,In stock (3 available),0
Ready Player One,2ef5dc7e278e562a,Books,£19.07,£19.07,£0.00,In stock (3 available),0
Red: The True Story of Red Riding Hood,4c8ece50736f9e88,Books,£28.54,£28.54,£0.00,In stock (3 available),0
Reservations for Two,ecdf73ee66c33b17,Books,£11.10,£11.10,£0.00,In stock (3 available),0
Rework,8e9dd8431170c09e,Books,£44.88,£44.88,£0.00,In stock (3 available),0
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",89cad3f37c9ce226,Books,£41.67,£41.67,£0.00,In stock (3 available),0
Rogue Lawyer (Rogue Lawyer #1),b4f5672f68ec3a83,Books,£50.11,£50.11,£0.00,In stock (3 available),0
Running with Scissors,28921443f052bea6,Books,£12.91,£12.91,£0.00,In stock (3 available),0
"Saga, Volume 3 (Saga (Collected Editions) #3)",7b870bf85d01c2dc,Books,£21.57,£21.57,£0.00,In stock (3 available),0
Sarah's Key,5b2cd5b31a510848,Books,£46.29,£46.29,£0.00,In stock (3 available),0
Scarlet (The Lunar Chronicles #2),510832818edb6fbc,Books,£14.57,£14.57,£0.00,In stock (3 available),0
Seven Brief Lessons on Physics,281a244ce1954711,Books,£30.60,£30.60,£0.00,In stock (3 available),0
Seven Days in the Art World,07806456878931bc,Books,£52.33,£52.33,£0.00,In stock (3 available),0
Soldier (Talon #3),feaaae90514eb2ac,Books,£24.72,£24.72,£0.00,In stock (3 available),0
Something Blue (Darcy & Rachel #2),3fc9d51d1c4d6ba7,Books,£54.62,£54.62,£0.00,In stock (3 available),0
Something Borrowed (Darcy & Rachel #1),ac27ab4bcd9c492e,Books,£48.96,£48.96,£0.00,In stock (3 available),0
Spilled Milk: Based on a True Story,f08667e4c0458f37,Books,£49.51,£49.51,£0.00,In stock (3 available),0
Stiff: The Curious Lives of Human Cadavers,a11ae5f07572ef49,Books,£36.74,£36.74,£0.00,In stock (3 available),0
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",61002f3b7ba5d780,Books,£25.83,£25.83,£0.00,In stock (3 available),0
The Art of Fielding,2858ac90c4758e1f,Books,£22.10,£22.10,£0.00,In stock (3 available),0
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",311634df10651e05,Books,£34.32,£34.32,£0.00,In stock (3 available),0
The Autobiography of Malcolm X,b04a6a0db525857d,Books,£23.43,£23.43,£0.00,In stock (3 available),0
The Blind Side: Evolution of a Game,cd3dcd83bb002e78,Books,£53.71,£53.71,£0.00,In stock (3 available),0
The Book of Basketball: The NBA According to The Sports Guy,08decd9664e5d56e,Books,£44.84,£44.84,£0.00,In stock (3 available),0
The Book Thief,a75e274c8814b539,Books,£53.49,£53.49,£0.00,In stock (3 available),0
The Case for Christ (Cases for Christianity),970bd3316219e7dc,Books,£47.84,£47.84,£0.00,In stock (3 available),0
The Cat in the Hat (Beginner Books B-1),b7f475238ed50429,Books,£16.26,£16.26,£0.00,In stock (3 available),0
The Catcher in the Rye,487449f4f6322f0f,Books,£24.55,£24.55,£0.00,In stock (3 available),0
The Complete Poems,23707d3ddf14a999,Books,£41.32,£41.32,£0.00,In stock (3 available),0
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),cad70d6ffd53912f,Books,£26.78,£26.78,£0.00,In stock (3 available),0
The Cuckoo's Calling (Cormoran Strike #1),1be6d3b121865edb,Books,£19.21,£19.21,£0.00,In stock (3 available),0
The Da Vinci Code (Robert Langdon #2),dabf11918b48b40c,Books,£22.96,£22.96,£0.00,In stock (3 available),0
The Demon-Haunted World: Science as a Candle in the Dark,f51062bf579507d9,Books,£52.25,£52.25,£0.00,In stock (3 available),0
The Devil Wears Prada (The Devil Wears Prada #1),a6ab0cb7106a67f2,Books,£44.29,£44.29,£0.00,In stock (3 available),0
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",63c0826ef59eae66,Books,£57.35,£57.35,£0.00,In stock (3 available),0
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",c6bf14cb901c63ac,Books,£13.03,£13.03,£0.00,In stock (3 available),0
"The End of Faith: Religion, Terror, and the Future of Reason",b3f2bc2cefb35f05,Books,£22.13,£22.13,£0.00,In stock (3 available),0
The Exiled,dd003e904727281a,Books,£43.45,£43.45,£0.00,In stock (3 available),0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),8f5d16a5a9bd58b2,Books,£57.48,£57.48,£0.00,In stock (3 available),0
The Girl Who Played with Fire (Millennium Trilogy #2),bfa9cb304075d3e8,Books,£22.14,£22.14,£0.00,In stock (3 available),0
The Girl with All the Gifts,92dcc54a27107a37,Books,£49.47,£49.47,£0.00,In stock (3 available),0
The Giver (The Giver Quartet #1),e2dac1f4739e0bd5,Books,£12.30,£12.30,£0.00,In stock (3 available),0
The Goldfinch,c88422d8959260ab,Books,£43.58,£43.58,£0.00,In stock (3 available),0
The Guernsey Literary and Potato Peel Pie Society,4a0a276409968a73,Books,£49.53,£49.53,£0.00,In stock (3 available),0
The Guns of August,b5da59dd177eb36b,Books,£14.54,£14.54,£0.00,In stock (3 available),0
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),a8b0ea6490bc818f,Books,£47.80,£47.80,£0.00,In stock (3 available),0
The Husband's Secret,ff6bb30dd0c482a6,Books,£52.51,£52.51,£0.00,In stock (3 available),0
The Infinities,554e9e2d532b3a87,Books,£27.41,£27.41,£0.00,In stock (3 available),0
"The Land of 10,000 Madonnas",35e69a79d2b1e804,Books,£29.64,£29.64,£0.00,In stock (3 available),0
The Last Painting of Sara de Vos,476c7972e9b41891,Books,£55.55,£55.55,£0.00,In stock (3 available),0
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,70c7c3ca7f9b2728,Books,£33.92,£33.92,£0.00,In stock (3 available),0
The Lover's Dictionary,36c15687f5ab0f7c,Books,£58.09,£58.09,£0.00,In stock (3 available),0
The Maze Runner (The Maze Runner #1),4266f48a0aa1c37d,Books,£20.93,£20.93,£0.00,In stock (3 available),0
The Name of God is Mercy,0baf71623648413a,Books,£37.25,£37.25,£0.00,In stock (3 available),0
The Nanny Diaries (Nanny #1),6263c1d2997b8ce0,Books,£52.53,£52.53,£0.00,In stock (3 available),0
The New Guy (and Other Senior Year Distractions),3e42ac0f4d43320f,Books,£44.92,£44.92,£0.00,In stock (3 available),0
The Nightingale,29d6d87f3418638b,Books,£26.26,£26.26,£0.00,In stock (3 available),0
The Obsession,ee441c8e027caa66,Books,£45.43,£45.43,£0.00,In stock (3 available),0
The Paris Wife,fa26798728f5208f,Books,£36.80,£36.80,£0.00,In stock (3 available),0
The Picture of Dorian Gray,b9f6305a3d650e2c,Books,£29.70,£29.70,£0.00,In stock (3 available),0
The Purest Hook (Second Circle Tattoos #3),969f6c7e86554814,Books,£12.25,£12.25,£0.00,In stock (3 available),0
The Purpose Driven Life: What on Earth Am I Here for?,0e7beedf0ee9380c,Books,£37.19,£37.19,£0.00,In stock (3 available),0
The Red Tent,3c456328b04a8ee8,Books,£35.66,£35.66,£0.00,In stock (3 available),0
The Rest Is Noise: Listening to the Twentieth Century,e2d47e82c50d41d9,Books,£34.77,£34.77,£0.00,In stock (3 available),0
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),0e92ccf1bd39e68f,Books,£10.92,£10.92,£0.00,In stock (3 available),0
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a,Books,£42.57,£42.57,£0.00,In stock (3 available),0
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),366a236aa1ea6f07,Books,£23.21,£23.21,£0.00,In stock (3 available),0
The Rose & the Dagger (The Wrath and the Dawn #2),322a9e34d87f54b1,Books,£58.64,£58.64,£0.00,In stock (3 available),0
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",91eb9605998a7c03,Books,£55.55,£55.55,£0.00,In stock (3 available),0
The Silkworm (Cormoran Strike #2),f06039c29b5891fa,Books,£23.05,£23.05,£0.00,In stock (3 available),0
The Stand,49f24193f0b961e6,Books,£57.86,£57.86,£0.00,In stock (3 available),0
The Thing About Jellyfish,3d15714d4d3d15dd,Books,£48.77,£48.77,£0.00,In stock (3 available),0
The Tipping Point: How Little Things Can Make a Big Difference,224fa77d4b248046,Books,£10.02,£10.02,£0.00,In stock (3 available),0
The Travelers,2b685187f55c5d31,Books,£15.77,£15.77,£0.00,In stock (3 available),0
The Undomestic Goddess,813cff2aefa5d1f0,Books,£45.75,£45.75,£0.00,In stock (3 available),0
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",a33ed2e6068df53e,Books,£14.41,£14.41,£0.00,In stock (3 available),0
The Wild Robot,75fed6a47f69859d,Books,£56.07,£56.07,£0.00,In stock (3 available),0
"Thinking, Fast and Slow",719d72f3ee512dc6,Books,£21.14,£21.14,£0.00,In stock (3 available),0
Three-Martini Lunch,57f755143ee96fd4,Books,£23.21,£23.21,£0.00,In stock (3 available),0
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",2173a2ce35f6ace1,Books,£53.51,£53.51,£0.00,In stock (3 available),0
Twenties Girl,8ebad30219b8679c,Books,£42.80,£42.80,£0.00,In stock (3 available),0
